jester: 27 classes
storing name: TSM_jester_RGB_resnet50_avg_segment8_e50_lr5e-03_npb_gp22

    Initializing TSN with base model: resnet50.
    TSN Configurations:
        input_modality:     RGB
        num_segments:       8
        new_length:         1
        consensus_module:   avg
        dropout_ratio:      0.5
        img_feature_dim:    256
            
=> base model: resnet50
#################### NO FLIP!!!
video clips:118562
video clips:14787
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 52 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 0 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 106 params, lr_mult: 1, decay_mult: 0
group: custom_ops has 0 params, lr_mult: 1, decay_mult: 1
group: lr5_weight has 1 params, lr_mult: 5, decay_mult: 1
group: lr10_bias has 1 params, lr_mult: 10, decay_mult: 0
Epoch: [0][1060/2470], lr: 0.00500	Time 0.540 (0.550)	Data 0.000 (0.004)	Loss 1.6532 (1.9753)	Prec@1 45.833 (40.414)	Prec@5 83.333 (75.467)
Epoch: [0][1080/2470], lr: 0.00500	Time 0.534 (0.549)	Data 0.000 (0.004)	Loss 1.8753 (1.9685)	Prec@1 45.833 (40.535)	Prec@5 75.000 (75.626)
Epoch: [0][1100/2470], lr: 0.00500	Time 0.535 (0.549)	Data 0.000 (0.004)	Loss 1.4960 (1.9609)	Prec@1 52.083 (40.722)	Prec@5 87.500 (75.783)
Epoch: [0][1120/2470], lr: 0.00500	Time 0.532 (0.549)	Data 0.000 (0.003)	Loss 1.4902 (1.9538)	Prec@1 56.250 (40.897)	Prec@5 83.333 (75.913)
Epoch: [0][1140/2470], lr: 0.00500	Time 0.536 (0.549)	Data 0.000 (0.003)	Loss 1.6726 (1.9477)	Prec@1 39.583 (41.026)	Prec@5 83.333 (76.044)
Epoch: [0][1160/2470], lr: 0.00500	Time 0.533 (0.548)	Data 0.000 (0.003)	Loss 1.3290 (1.9409)	Prec@1 52.083 (41.168)	Prec@5 89.583 (76.200)
Epoch: [0][1180/2470], lr: 0.00500	Time 0.535 (0.548)	Data 0.000 (0.003)	Loss 1.7924 (1.9344)	Prec@1 45.833 (41.331)	Prec@5 89.583 (76.351)
Epoch: [0][1200/2470], lr: 0.00500	Time 0.535 (0.548)	Data 0.000 (0.003)	Loss 1.3999 (1.9281)	Prec@1 52.083 (41.455)	Prec@5 91.667 (76.487)
Epoch: [0][1220/2470], lr: 0.00500	Time 0.534 (0.548)	Data 0.000 (0.003)	Loss 1.2506 (1.9215)	Prec@1 62.500 (41.617)	Prec@5 89.583 (76.629)
Epoch: [0][1240/2470], lr: 0.00500	Time 0.534 (0.548)	Data 0.000 (0.003)	Loss 1.6061 (1.9165)	Prec@1 54.167 (41.725)	Prec@5 81.250 (76.729)
Epoch: [0][1260/2470], lr: 0.00500	Time 0.535 (0.547)	Data 0.000 (0.003)	Loss 1.2698 (1.9120)	Prec@1 62.500 (41.855)	Prec@5 89.583 (76.855)
Epoch: [0][1280/2470], lr: 0.00500	Time 0.534 (0.547)	Data 0.000 (0.003)	Loss 2.0473 (1.9070)	Prec@1 39.583 (41.971)	Prec@5 77.083 (76.945)
Epoch: [0][1300/2470], lr: 0.00500	Time 0.535 (0.547)	Data 0.000 (0.003)	Loss 1.5975 (1.9012)	Prec@1 54.167 (42.120)	Prec@5 83.333 (77.064)
Epoch: [0][1320/2470], lr: 0.00500	Time 0.534 (0.547)	Data 0.000 (0.003)	Loss 1.4404 (1.8963)	Prec@1 60.417 (42.214)	Prec@5 89.583 (77.168)
Epoch: [0][1340/2470], lr: 0.00500	Time 0.535 (0.547)	Data 0.000 (0.003)	Loss 1.8048 (1.8906)	Prec@1 43.750 (42.342)	Prec@5 75.000 (77.274)
Epoch: [0][1360/2470], lr: 0.00500	Time 0.534 (0.547)	Data 0.000 (0.003)	Loss 1.2982 (1.8846)	Prec@1 50.000 (42.467)	Prec@5 89.583 (77.399)
Epoch: [0][1380/2470], lr: 0.00500	Time 0.534 (0.546)	Data 0.000 (0.003)	Loss 1.4404 (1.8797)	Prec@1 47.917 (42.564)	Prec@5 81.250 (77.504)
